Relative density,Number of polygonal cells,Mean of cell edge number,Variance of cell edge number,Skewness of cell edge number,Kurtosis of cell edge number,Mean of cell area,Variance of cell area,Skewness of cell area,Kurtosis of cell area,Mean of cell compactness,Variance of cell compactness,Skewness of cell compactness,Kurtosis of cell compactness,Mean of cell eccentricity,Variance of cell eccentricity,Skewness of cell eccentricity,Kurtosis of cell eccentricity,Mean of strut length,Variance of strut length,Skewness of strut length,Kurtosis of strut length,Mean of strut orientation,Variance of strut orientation,Skewness of strut orientation,Kurtosis of strut orientation,Mean of nodal connectivity,Variance of nodal connectivity,Skewness of nodal connectivity,Kurtosis of nodal connectivity,Mean of neighboring seed distance,Variance of neighboring seed distance,Skewness of neighboring seed distance,Kurtosis of neighboring seed distance,Mean of neighboring seed angle sine,Variance of neighboring seed angle sine,Skewness of neighboring seed angle sine,Kurtosis of neighboring seed angle sine,Mean of neighboring seed angle cosine,Variance of neighboring seed angle cosine,Skewness of neighboring seed angle cosine,Kurtosis of neighboring seed angle cosine,Relative stiffness
0.1,817,3.6279,1.0697,1.9135,6.7627,0.00079087,1.81E-08,0.4492,4.7126,0.625,0.001345,2.0668,7.4544,0.86373,0.0018346,0.29393,3.0134,0.034683,0.00018111,-1.5936,3.7912,48.445,748.54,0.62035,1.684,4.4316,1.5589,0.039732,1.3694,0.022602,3.13E-06,-0.48296,3.6122,-0.0031155,0.02394,-0.044733,2.7763,0.0010844,0.023306,-0.042297,2.7548,0.02763
0.15,817,3.6279,1.0697,1.9135,6.7627,0.00079087,1.81E-08,0.4492,4.7126,0.625,0.001345,2.0668,7.4544,0.86373,0.0018346,0.29393,3.0134,0.034683,0.00018111,-1.5936,3.7912,48.445,748.54,0.62035,1.684,4.4316,1.5589,0.039732,1.3694,0.022602,3.13E-06,-0.48296,3.6122,-0.0031155,0.02394,-0.044733,2.7763,0.0010844,0.023306,-0.042297,2.7548,0.044567
0.2,817,3.6279,1.0697,1.9135,6.7627,0.00079087,1.81E-08,0.4492,4.7126,0.625,0.001345,2.0668,7.4544,0.86373,0.0018346,0.29393,3.0134,0.034683,0.00018111,-1.5936,3.7912,48.445,748.54,0.62035,1.684,4.4316,1.5589,0.039732,1.3694,0.022602,3.13E-06,-0.48296,3.6122,-0.0031155,0.02394,-0.044733,2.7763,0.0010844,0.023306,-0.042297,2.7548,0.06294
0.01,1296,3.1551,0.14041,2.1667,6.5254,0.00049752,6.01E-10,0.024581,3.9127,0.60936,0.00018502,2.2546,6.9096,0.86844,0.0012076,-0.33569,4.068,0.032096,4.15E-05,-3.9676,17.283,49.425,763.47,0.69193,1.5328,5.4616,1.0542,-1.7409,4.4375,0.018851,4.60E-07,-0.80214,2.7852,-0.00096809,0.035159,-0.0015268,2.3211,-0.0011385,0.036961,0.0043363,2.2606,0.0032997
0.05,1296,3.1551,0.14041,2.1667,6.5254,0.00049752,6.01E-10,0.024581,3.9127,0.60936,0.00018502,2.2546,6.9096,0.86844,0.0012076,-0.33569,4.068,0.032096,4.15E-05,-3.9676,17.283,49.425,763.47,0.69193,1.5328,5.4616,1.0542,-1.7409,4.4375,0.018851,4.60E-07,-0.80214,2.7852,-0.00096809,0.035159,-0.0015268,2.3211,-0.0011385,0.036961,0.0043363,2.2606,0.01673
0.1,1296,3.1551,0.14041,2.1667,6.5254,0.00049752,6.01E-10,0.024581,3.9127,0.60936,0.00018502,2.2546,6.9096,0.86844,0.0012076,-0.33569,4.068,0.032096,4.15E-05,-3.9676,17.283,49.425,763.47,0.69193,1.5328,5.4616,1.0542,-1.7409,4.4375,0.018851,4.60E-07,-0.80214,2.7852,-0.00096809,0.035159,-0.0015268,2.3211,-0.0011385,0.036961,0.0043363,2.2606,0.034183
0.15,1296,3.1551,0.14041,2.1667,6.5254,0.00049752,6.01E-10,0.024581,3.9127,0.60936,0.00018502,2.2546,6.9096,0.86844,0.0012076,-0.33569,4.068,0.032096,4.15E-05,-3.9676,17.283,49.425,763.47,0.69193,1.5328,5.4616,1.0542,-1.7409,4.4375,0.018851,4.60E-07,-0.80214,2.7852,-0.00096809,0.035159,-0.0015268,2.3211,-0.0011385,0.036961,0.0043363,2.2606,0.052393
0.2,1296,3.1551,0.14041,2.1667,6.5254,0.00049752,6.01E-10,0.024581,3.9127,0.60936,0.00018502,2.2546,6.9096,0.86844,0.0012076,-0.33569,4.068,0.032096,4.15E-05,-3.9676,17.283,49.425,763.47,0.69193,1.5328,5.4616,1.0542,-1.7409,4.4375,0.018851,4.60E-07,-0.80214,2.7852,-0.00096809,0.035159,-0.0015268,2.3211,-0.0011385,0.036961,0.0043363,2.2606,0.071321
0.01,960,3.2073,0.19369,1.9452,5.9419,0.00066578,1.64E-09,0.1385,4.0961,0.61121,0.00026349,1.942,5.5916,0.86993,0.0014215,-0.31475,4.2352,0.036583,6.74E-05,-3.4652,13.482,49.274,762.04,0.69953,1.5431,5.3094,1.2447,-1.3319,3.1358,0.02166,7.73E-07,-0.58654,3.6354,-0.00069309,0.030822,-0.014748,2.4729,0.00027267,0.03299,0.024688,2.3201,0.003182
0.05,960,3.2073,0.19369,1.9452,5.9419,0.00066578,1.64E-09,0.1385,4.0961,0.61121,0.00026349,1.942,5.5916,0.86993,0.0014215,-0.31475,4.2352,0.036583,6.74E-05,-3.4652,13.482,49.274,762.04,0.69953,1.5431,5.3094,1.2447,-1.3319,3.1358,0.02166,7.73E-07,-0.58654,3.6354,-0.00069309,0.030822,-0.014748,2.4729,0.00027267,0.03299,0.024688,2.3201,0.016118
