606, 378, 126
607, 384, 378
608, 126, 562
609, 132, 126
610, 136, 379
611, 379, 129
612, 135, 380
613, 380, 130
614, 137, 381
615, 381, 128
616, 138, 382
617, 382, 127
618, 134, 383
619, 383, 131
620, 133, 384
621, 384, 132
622, 385, 379
623, 379, 386
624, 387, 380
625, 380, 388
626, 389, 381
627, 381, 390
628, 391, 382
629, 382, 392
630, 393, 383
631, 383, 394
632, 395, 384
633, 384, 396
634, 563, 142
635, 142, 136
636, 136, 385
637, 129, 141
638, 386, 129
639, 141, 135
640, 135, 387
641, 130, 143
642, 388, 130
643, 143, 137
644, 137, 389
645, 128, 140
646, 390, 128
647, 140, 138
648, 138, 391
649, 127, 139
650, 392, 127
651, 139, 134
652, 134, 393
653, 131, 144
654, 394, 131
655, 144, 133
656, 133, 395
657, 132, 564
658, 396, 132
659, 397, 142
660, 142, 398
661, 400, 141
662, 141, 401
663, 403, 143
664, 143, 404
665, 406, 140
666, 140, 407
667, 409, 139
668, 139, 410
669, 412, 144
670, 144, 413
671, 385, 386
672, 387, 388
673, 389, 390
674, 391, 392
675, 393, 394
676, 395, 396
677, 565, 397
678, 398, 385
679, 385, 149
680, 386, 400
681, 149, 386
682, 401, 387
683, 387, 146
684, 388, 403
685, 146, 388
686, 404, 389
687, 389, 147
688, 390, 406
689, 147, 390
690, 407, 391
691, 391, 148
692, 392, 409
693, 148, 392
694, 410, 393
695, 393, 150
696, 394, 412
697, 150, 394
698, 413, 395
699, 395, 145
700, 396, 625
701, 145, 396
702, 397, 398
703, 400, 401
704, 403, 404
705, 406, 407
706, 409, 410
707, 412, 413
708, 566, 397
709, 397, 399
710, 398, 152
711, 399, 398
712, 156, 400
713, 400, 402
714, 401, 154
715, 402, 401
716, 158, 403
717, 403, 405
718, 404, 157
719, 405, 404
720, 161, 406
721, 406, 408
722, 407, 153
723, 408, 407
724, 160, 409
725, 409, 411
726, 410, 162
727, 411, 410
728, 159, 412
729, 412, 414
730, 413, 155
731, 414, 413
732, 151, 625
733, 567, 399
734, 399, 152
735, 415, 399
736, 152, 149
737, 149, 156
738, 169, 152
739, 156, 402
740, 166, 156
741, 402, 154
742, 416, 402
743, 154, 146
744, 146, 158
745, 170, 154
746, 158, 405
747, 165, 158
748, 405, 157
749, 417, 405
750, 157, 147
751, 147, 161
752, 172, 157
753, 161, 408
754, 167, 161
755, 408, 153
756, 418, 408
757, 153, 148
758, 148, 160
759, 171, 153
760, 160, 411
761, 168, 160
762, 411, 162
763, 419, 411
764, 162, 150
765, 150, 159
766, 173, 162
767, 159, 414
768, 164, 159
769, 414, 155
770, 420, 414
771, 155, 145
772, 145, 151
773, 174, 155
774, 151, 568
775, 163, 151
776, 569, 415
777, 415, 169
778, 166, 416
779, 416, 170
780, 165, 417
781, 417, 172
782, 167, 418
783, 418, 171
784, 168, 419
785, 419, 173
786, 164, 420
787, 420, 174
788, 163, 570
789, 421, 415
790, 415, 422
791, 423, 416
792, 416, 424
793, 425, 417
794, 417, 426
795, 427, 418
796, 418, 428
797, 429, 419
798, 419, 430
799, 431, 420
800, 420, 432
801, 571, 421
802, 169, 177
803, 422, 169
804, 177, 166
805, 166, 423
806, 170, 176
807, 424, 170
808, 176, 165
809, 165, 425
810, 172, 178
811, 426, 172
812, 178, 167
813, 167, 427
814, 171, 179
815, 428, 171
816, 179, 168
817, 168, 429
818, 173, 175
819, 430, 173
820, 175, 164
821, 164, 431
822, 174, 180
823, 432, 174
824, 180, 163
825, 163, 626
826, 433, 177
827, 177, 434
828, 436, 176
829, 176, 437
830, 439, 178
831, 178, 440
832, 442, 179
833, 179, 443
834, 445, 175
835, 175, 446
836, 448, 180
837, 180, 449
838, 421, 422
839, 423, 424
840, 425, 426
841, 427, 428
